'mY HEDGEHOG IS SO CUTE OMG http://t.co/rRSi0xJ9IB',?|
'“@TAEsty_Cake: Brielle DM that just came to my iPad 🙈😳 OMG 😂😭�? 😂😂😂😂 samething i was thinking �?�?',?|
'Omg why Mimi like I just seen her video like wtf  she a mother too omg',?|
'@love_mirandah lol I still love u mean ass',?|
'i just literally lol\'d',?|
'Oh wait you don\'t give a fuck lol',?|
'@AlDaHustla lol smh damn shame',?|
'that should really be my twitter name lol',?|
'@tabbyrose13 I know I am you don\'t have to tell me ;) lol jk',?|
'@GodFearingStar2 lol I\'m finna get sum1 bro',?|
'“@t_oguns: Irish Twitter is dead, no one to banter with :(�? i swear you have exams lol',?|
'@LoveOfFashion1 Phone died bae. :/ just letting you know. I Love youuu &lt;33 :) can\'t use emojis.lol',?|
'great oak has had camo baseball jerseys long before any other team lol',?|
'I got like 100 lovers tbh lol',?|
'Yeah more tweets on HGTV lol don\'t judge me. #revrunsrenovation http://t.co/RXgVhrlHny',?|
'Once you lick the frosting off a cupcake it becomes a muffin and muffins are healthy. Your\'re welcome.  lol #muffintop',?|
'@yay_yee some guy who needs some more experience before fighting in the UFC lol',?|
'Who said you can\'t have church on Twitter? Lol #GodsNotDead',?|
'@WakeUpMrWest_ you right lol 😌',?|
'thank you @blackchesney17 &amp; @ohwowww_kaycrow  because you weren\'t here for #Bruinsboozers the Bruins lost game 1 lol',?|
'@amperez1124 me too 😜 lol',?|
'Coffee gone wild...what will they think of next?? Lol #waitresswithpasties',?|
'Good food tonight got me wanting to call it a early night lol',?|
'Wish one of my friends stayed with me lol',?|
'@asry_13 I\'m staring at my new pretty tv lol #SoBored http://t.co/8nEa947Oxg',?|
'Although I do have a problem saying no I can have earth on back while still tryna hold mars and Pluto in my hands lol',?|
'I\'m on a boat rn. Lol at my life',?|
'@xLuiss_: As im still waiting for @StfuTati  to draw me a picture 😒😒😒 lol you never told me of what',?|
'Where in BGC maganda mag-meet lol',?|
'this would be nice..Stroke game: Super Saiyan lol 😂 #rp from jazzikins http://t.co/XbPr76QqZh',?|
'@kristilynmarie lol ur such a comedian :-)',?|
'@GILLY_ROYAL lol I try....',?|
'Batista still can\'t, like, do a proper spear at all. lol #SmackDown',?|
'Your a player lol that why',?|
'Lmaooo RT @YaccaFlocka: Lmfao short niggas be having big stupid ass heads lol',?|
'@_trulyred lol aye chill... I only got enough for me',?|
'@LuuSunglasses lol but uu are just admit',?|
'@_KGregz: Honestly don\'t even know why I try lol',?|
'I lol\'d ... My C++ class had an extra credit quiz. It had 1 question and I had an hour to answer it. #comedy #funny http://t.co/lUW8zt9arE',?|
'shoutout to people who club outfit is their Easter outfit. Don\'t even have to change clothes lol',?|
'@Niki_721 hahah right we so old lol',?|
'@skblender nah man I couldn\'t lol',?|
'When you say Ya and end the convo I\'m not texting back any more lol',?|
'@DisgustedNYer lol, I was just gonna say...they are this decades New Jersey Devils from the 90s and the early 00s',?|
'@XoTRIZZ 😩😩😩 u drawlin bread be hard as shit lol',?|
'Lol no mom. I don\'t want the type of guys you date cause they\'re arrogant assholes.',?|
'@Vintage_BOM why I gota be all that lol damn tough love � �',?|
'“@Tabather_S: @lizzysingh Your page shows two different pics lol http://t.co/DTeNACgpES�?did I fix it now?',?|
'@Shardae__ I am from time 2 time lol',?|
'@SariePoo90 she HAS TO BE LIKE I WAS. lol no drama! No girly girl. No princess 😷',?|
'@KRISPY_QUEL boy lol u about 6x bigger than me na',?|
'@d__olo lol I just might',?|
'#24 lol hey born sinner , your hilarious fullstop!',?|
'she fake thoooooo lol',?|
'616: Lol, you need fi talk more. Too shy',?|
'@Shawn_Owens18 lol I\'m just doing one and it\'s hard got a YouTube I\'m doing, getting tourneys, gfxs, teammates, but I still like it to do it',?|
'“@JigglypuffJack: @Ruppism_ #askrupp do you prefer the winter or summer?�? Summer duh! Lol',?|
'@MemPhoenix85 @Justinj1232 lol!!! Cause you know the kids like to commit fraud 💅',?|
'@NFL_Memes he\'s mad lol',?|
'@nicklewinskyyy I just know that\'s not a woman I wanna be friends with. Like. Nawl  lol.',?|
'Pretty much lol http://t.co/PoihdmoiUF',?|
'A group of guys is having a spelling bee in a Call of Duty lobby.. Lol that\'s cool..',?|
'@NorvellMcGlaun @TylerStories LOL not at all y\'all would get smashed',?|
'😑 back to work lol',?|
'I stay in 24/7 lol I just be chilling G',?|
'@Caaalidase aite good, I don\'t wanna have to put my hands on you b lol',?|
'lol does anyone play draw something anymore I\'m bored 🙈',?|
'@ColinPetierre LOL EW go away',?|
'@Savannahh_Janee i really dont wanna talk about this lol',?|
'you have a guyyy??? — Lol idek what that means http://t.co/EPXCFJowPl',?|
'@_misstraci it just came on pandora... had to hit it wit that thumbs up lol',?|
'@Michaelaaaa_M I\'m down lol',?|
'Keith telling the #GKR team how he won his Masters jacket! LOL @ Citifield - Mets Stadium http://t.co/vVhefzDpsp',?|
'@FreeDaMandem12 lol so link!!!',?|
'@PattyDs50 It wouldn\'t matter if Trump is sexier, he\'s married lol But @realDonaldTrump @renovacion',?|
'It Don\'t Matter How Old You Are, Everyone Still Puts The Soap On They Face &amp; Make A Beard When They Take A Bubble Bath :) Lol',?|
'lol these two love their trench coats and Easter mugs http://t.co/6Q6FHdsq7M',?|
'@HughleyDexter @_DOPEITS1990 i cant rock with that statement either. But hell, we will see lol',?|
'@tivo_gaga lol well that\'s where I am they have a big chocolate chip pizza!',?|
'@erra_mendoza are those your legs? Lol',?|
'@shadesofcaitlyn can I be of any assistance lol..?!',?|
'@Trass480 Lol good point. I miss you. Do you work tomorrow morning? If not, let\'s get french toast at Grandma\'s :D',?|
'Lol Party Mardy wut http://t.co/c2PJcfplGn',?|
'@corina__c maybe we can give six flags another try this summer, lmao',?|
'Lol bruins',?|
'https://t.co/aoWDFhcH1Q I remember I loved this show so much omg',?|
'@NicolexoStewart omg great choice :) haha the Notebook rofl! Good luck girl xox',?|
'@SheeeRatchet: Me trying to get my life together http://t.co/flnArvEJce me trying to fix my grades rofl',?|
'rofl i cant breathe brb tAENY REIGNS!!! LICK MY FEET IMBECILES!!-sooyoung',?|
'@haccishin rofl poor them',?|
'@claireportilla lolz its truuu doe, i rofl every time http://t.co/wXk8QNnNFX',?|
'@PJ_Kurt rofl nothing',?|
'@Oddness_Weird ROFL! *nodding in agreement* LOL',?|
'want Yomiuri Shinbun ~~~ *pokes around* rofl',?|
'@hana_cnu haha , ikr , and last night i watched the weekly idol and lol , i am ROFL :P',?|
'I DIED AT Yoona Mary Im the 4th rofl',?|
'@jennaelsouso HAHAHAHA LAWLZ rofl lol. where the hell did you get this pic from 😂',?|
'@idWRY I\'m on my brothers acc. I don\'t play this system anymore rofl. What cod are you on?',?|
'@adimas_rosi rofl. So.. u don\'t believe me? If you\'re my bestf u shall believe me. Idk who he\'s. Why\'re u so curious?Oo. Are u jealous? :p',?|
'@ShiKiLove81 rofl!   is it ku?!   XDDD  set up a cam! i wNna know!',?|
'@Ngetuny_IW01 im a trend setter rofl',?|
'@MandyLouiseD f bombs every other word, I kid you not, F the F\'ing F F F rofl ok bit exaggerated',?|
'@NeverChillnGod rofl that\'s rude',?|
'@jonnygreenwood7 rofl good one',?|
'@remaztheog nigga i wish you woulda saw this dumbass play rofl',?|
'LMAO ROFL LOLOL.',?|
'Lmao yo you disrespectful “@GeeZzzus: My gma asking me when she gon have great grand kids .. Lmao rofl ctfu . Foh grandma lol�?',?|
'@GeneralStar489 HAHAHAHA!  Now that\'s more like it rofl',?|
'@Nashgrier they are so full of bs its like rofl funny Ahaha',?|
'@MMcbeard ok and those ss are way hilarious btw rofl you got a stalker',?|
'eliteincome replies to: EURUSD: Gidday Traders Priceless full time comedy:rofl: {quote} I can summarize... Magix:... http://t.co/p5Bj7T2uWZ',?|
'@devotadaniellee rofl bc i realized i just got better looking after the breakup but he goes off and dyes his hair blonde',?|
'@bugfany you just have to take more initiative LOL. but if the building\'s guarded than you need to sneak the guy in too rofl',?|
'the nights when you reminisce are the best nights lol lol lol lol lol lol lol lmao lmfao rofl',?|
'When we singing songs with the word joy and everybody turns to me rofl i cant',?|
'@GeneralStar489 lol even just an X over him would be awesome ROFL',?|
'I bet I won\'t get hit back up rofl',?|
'@enterzayn no i mean like later rofl i cbb',?|
'@Gypsy_Spice: “@_FreshabeR_: catfish, fangirls, and anon accounts be like http://t.co/jn6YOJBk0t�? HAHAHA the shirt rofl � �',?|
'“@ILLUMINAT1D: THEYRE GONNA UNFOLLOW ME IM LAUGHING WAY TOO HARD http://t.co/MvRicfCh7r�? rofl this is glorious',?|
